__label__ClH	Hydrogen chloride
__label__C3H5Cl	1-Propene, 1-chloro-, (Z)-
__label__FS	Monosulfur monofluoride
__label__F2S	Sulfur difluoride
__label__C10Mn2O10	Dimanganese decacarbonyl
__label__C2H5N	N-Methyl methanimine
__label__Cl2S	Sulfur dichloride
__label__FI	Iodine monofluoride
__label__C6O6W	Tungsten hexacarbonyl
__label__F2Si	Difluorosilylene
__label__F3Si	Trifluorosilyl radical
__label__HHg	Mercury hydride
__label__C6MoO6	Molybdenum hexacarbonyl
__label__BF	boron fluoride
__label__C10H16	3-Carene
__label__F3HSi	Trifluorosilane
__label__C5FeO5	Iron pentacarbonyl
__label__C4NiO4	Nickel tetracarbonyl
__label__BrNO	Nitrosyl bromide
__label__C2H5IO	Iodomethyl methyl ether
__label__AlI	Aluminum monoiodide
__label__Na2	Disodium
__label__AlBr	Aluminum monobromide
__label__C3H5F	trans-1-Fluoro-1-propene
__label__C3H5F	cis-1-Fluoro-1-propene
__label__BrF5S	Sulfur bromide fluoride
__label__F2H2Si	Difluorosilane
__label__F2N2	Nitrogen fluoride, (E)-
__label__FH3Si	fluorosilane
__label__C6H10	(E)-1,3-Hexadiene
__label__C7H14	2-Heptene, (E)-
__label__C6H12	3-Hexene, (E)-
__label__C4H2FeO4	Iron dihydride, tetracarbonyl-
__label__C8H16	(Z)-2,5-Dimethylhex-3-ene
__label__BBr3	Boron tribromide
__label__BBr2H	Dibromoborane
__label__BFO	Boron monofluoride monoxide
__label__C4H9NO2	sec-Butyl nitrite
__label__C4H9NO2	Isobutyl nitrite
__label__C4H9NO2	n-Butyl nitrite
__label__Br2Si	Dibromosilylene
__label__C5H11NO2	C2H5C(CH3)2ONO
__label__BBr	Boron monobromide
__label__C12H8Cl2	1,1'-Biphenyl, 2,2'-dichloro-
__label__Cl2S2	Sulfur monochloride
__label__ClS2	Sulfur chloride
__label__Cl2O2S	sulphuryl dichloride
__label__Br4Si	silicon tetrabromide
__label__BrSi	Bromosilylidyne
__label__Br3P	Phosphorus tribromide
__label__FSi	silicon fluoride
__label__ClF5S	sulphur chloride pentafluoride
__label__F2OS	Thionyl fluoride
__label__F2O	Oxygen difluoride
__label__S3	Sulfur trimer
__label__C2HCl5	Ethane, pentachloro-
__label__C2H2Cl4	Ethane, 1,1,1,2-tetrachloro-
__label__C2H2Cl4	Ethane, 1,1,2,2-tetrachloro-
__label__BClF	Boron monochloride monofluoride
__label__AlO2	Aluminum oxide
__label__OP	Phosphorus monoxide
__label__O2P	Phosphorus dioxide
__label__BO2	Boron dioxide
__label__FeH2O2	iron dihydroxide
__label__C4H8Br2	Butane, 1,2-dibromo-
__label__P	phosphorus
__label__ClP	Phosphorus chloride
__label__Cl3P	Phosphorus trichloride
__label__C6H12	2-Hexene, (Z)-
__label__Cu2	Copper dimer
__label__C6H12	3-Hexene, (Z)-
__label__Cl2Hg	Mercury(II) chloride
__label__Hf	hafnium
__label__CuF	Copper monofluoride
__label__Co	cobalt
__label__CrO2	chromium dioxide
__label__ClF3Si	Chlorotrifluorosilane
__label__F4Ge	tetrafluorogermane
__label__Cl4Ti	Titanium tetrachloride
__label__Sn	tin
__label__Ta	tantalum
__label__OTa	Tantalum monoxide
__label__HP	Phosphinidene
__label__ClK	potassium chloride
__label__Mo	molybdenum
__label__MoO	molybdenum oxide
__label__HgO	mercury monoxide
__label__Mn	manganese
__label__BrPb	Lead bromide
__label__Pb2	Dilead
__label__C7H14	(Z)-2-Heptene
__label__C8H18O	Di-tert-Butyl ether
__label__C5H12O	2-Pentanol
__label__C10H18	Cyclohexene, 1-methyl-4-(1-methylethyl)-
__label__C6H10	2,4-Hexadiene, (E,E)-
__label__C6H10	2,4-Hexadiene, (E,Z)-
__label__C8H18	Hexane, 2,5-dimethyl-
__label__C8H14O	Cyclooctanone
__label__C4H10O2	Peroxide, diethyl
__label__C7H8O	Benzyl alcohol
__label__C6H14O	2-Butanol, 2,3-dimethyl-
__label__C7H10	1,3-Cyclopentadiene, 5,5-dimethyl-
__label__C6H12	2-Hexene, (E)-
__label__CBr	Bromomethylidyne
__label__C10H22	Hexane, 2,2,5,5-tetramethyl-
__label__C4H11NO	Diethylhydroxylamine
__label__C9H16	1-Nonyne
__label__C6H10	1,3-Butadiene, 2-ethyl-
__label__C3H9In	Trimethylindium
__label__C4F10	Butane, decafluoro-
__label__C6H4F10O	2,2,3,3-Tetrafluoropropyl-1',1',2',3',3'-hexafluoropropyl ether
__label__C3H6O	Cyclopropanol
__label__Cl3OP	Phosphorus oxychloride
__label__C6H10	trans-1,4-Hexadiene
__label__C9H16	1H-Indene, octahydro-, cis-
__label__C9H16	1H-Indene, octahydro-, trans-
__label__C6H12O	Methyl Isobutyl Ketone
__label__C6H4	Benzyne
__label__C6H6	3,4-Dimethylenecyclobut-1-ene
__label__C6H6	Fulvene
__label__C4H8O	Cyclobutanol
__label__C7H5ClO	Benzoyl chloride
__label__C5H12O	1-Butanol, 3-methyl-
__label__FNa	sodium fluoride
__label__C6H5NO	Benzene, nitroso-
__label__C4H9Cl	Butane, 2-chloro-
__label__C8H18	Hexane, 3,4-dimethyl-
__label__C10H14	Benzene, tert-butyl-
__label__C3H9N	Methylamine, N,N-dimethyl-
__label__C9H12	Benzene, (1-methylethyl)-
__label__C4H7Cl	2-Chloro-1-butene
__label__C8H18N2	Diazene, dibutyl
__label__C7H7Cl	Benzyl chloride
__label__C6H10	1-Pentyne, 4-methyl-
__label__C7H8O	Anisole
__label__C12H8Cl2	1,1'-Biphenyl, 4,4'-dichloro-
__label__C7H14	3-Heptene, (E)-
__label__C6H12	Pentane, 3-methylene-
__label__C6H14	Pentane, 2-methyl-
__label__C8H10O	Benzene, ethoxy-
__label__C7H16	Pentane, 2,4-dimethyl-
__label__C5H10O	2-Butanone, 3-methyl-
__label__C3H5I	1-Propene, 3-iodo-
__label__C8H14	4-Octyne
__label__C5H12S	1-Butanethiol, 2-methyl-
__label__C4H8O	Oxirane, 2,3-dimethyl-, cis-
__label__C4H6O	Furan, 2,5-dihydro-
__label__C10H20	Cyclohexane, butyl-
__label__C2H4ClF	Ethane, 1-chloro-1-fluoro-
__label__C10H14	Benzene, 1,2,4,5-tetramethyl-
__label__C7H16	Pentane, 2,2-dimethyl-
__label__C8H12	1,5-Cyclooctadiene, (Z,Z)-
__label__C6H10	Cyclopentane, methylene-
__label__C6H6O	2-Vinylfuran
__label__C5H8O	Furan, 2,3-dihydro-5-methyl-
__label__C3H9Ga	Gallium trimethyl
__label__H2MgO2	magnesium hydroxide
__label__CaH2O2	calcium dihydroxide
__label__C4H6O	Furan, 2,3-dihydro-
__label__C6H16Ge	Germane, triethyl-
__label__C12H12	Naphthalene, 1-ethyl-
__label__C5H7NO2	2,5-Pyrrolidinedione, 1-methyl-
__label__C5H10O2	1,3-Dioxane, 4-methyl-
__label__C6H10	Cyclopentene, 3-methyl-
__label__C11H24	Undecane
__label__C4H6OS	Divinyl sulfoxide
__label__C9H20	Pentane, 3,3-diethyl-
__label__C12H12	Naphthalene, 2-ethyl-
__label__C8H14	Cyclooctene, (Z)-
__label__C4H7Cl	4-chlorobut-1-ene
__label__C4H10O	2-Butanol
__label__C5H8O	2-Ethylacrolein
__label__C6H12	2-Pentene, 3-methyl-, (Z)-
__label__C4H9NO2	Propane, 2-methyl-2-nitro-
__label__C6H10	1-Butyne, 3,3-dimethyl-
__label__C9H10	trans-β-Methylstyrene
__label__C5H9NO	2-Pyrrolidinone, 1-methyl-
__label__C10H20	1-Decene
__label__C6F5I	Benzene, pentafluoroiodo-
__label__C9H18O	2-Nonanone
__label__C6H8	1,3,5-Hexatriene, (E)-
__label__C6H10O2	2,4-Pentanedione, 3-methyl-
__label__C7H3F5	Benzene, pentafluoromethyl-
__label__C3H7N	Cyclopropylamine
__label__C6H14N2	Diazene, dipropyl
__label__C10H18	1-Decyne
__label__C6H10	2-Hexyne
__label__C8H14	2,4-Hexadiene, 2,5-dimethyl-
__label__C5H10O2	Formic acid, 1,1-dimethylethyl ester
__label__C5H11NO	Propanamide, N,N-dimethyl-
__label__C11H16	Benzene, pentamethyl-
__label__C8H16	3-Hexene, 2,5-dimethyl-, (E)-
__label__C8H16	3-Hexene, 2,2-dimethyl-, (E)-
__label__C4F6	1,3-Butadiene, 1,1,2,3,4,4-hexafluoro-
__label__C4F6	Cyclobutene, hexafluoro-
__label__C6H4FeO4	η(2)-Etheneiron tetracarbonyl
__label__C9H6CrO3	Benzenechromiumtricarbonyl
__label__C4CoO4	Cobalt, tetracarbonyl
__label__C8H5MnO3	Manganese, tricarbonyl(η5-2,4-cyclopentadien-1-yl)-
__label__C16H32	Cetene
__label__C15H32	Pentadecane
__label__C14H30	Tetradecane
__label__C13H28	Tridecane
__label__C8H18S2	Disulfide, dibutyl
__label__C8H8	1,3,5,7-Cyclooctatetraene
__label__C4H9ClO	1-Chloro-2-ethoxyethane
__label__C5H8	2-Pentyne
__label__C6H14O	2-Hexanol
__label__C5H8O	3-Penten-2-one
__label__C4H8O	Oxirane, 2,3-dimethyl-, trans-
__label__C7H7I	Benzene, 1-iodo-4-methyl-
__label__C6H12O2	Methyl valerate
__label__C5H8O2	2-Butenoic acid, methyl ester, (E)-
__label__C6H14O	3-Hexanol
__label__C9H12	Benzene, 1-ethyl-4-methyl-
__label__C9H12	Benzene, 1-ethyl-3-methyl-
__label__C7H16	Pentane, 3-ethyl-
__label__C5H6S	Thiophene, 3-methyl-
__label__C6H12	2-Pentene, 3-methyl-, (E)-
__label__C14H12	Anthracene, 9,10-dihydro-
__label__C9H10	Benzene, 1-ethenyl-2-methyl-
__label__C9H12	Benzene, 1-ethyl-2-methyl-
__label__C5H12O	2-Butanol, 3-methyl-
__label__C5H8	1,2-Butadiene, 3-methyl-
__label__C8H20Ge	Tetraethylgermanium
__label__C3H9Sn	Trimethyltin
__label__C3H9Sb	Stibine, trimethyl-
__label__CH3ClHg	Mercury, chloromethyl-
__label__C6H12O	Oxepane
__label__C7H14	1-Heptene
__label__C4H7Cl	2-Butene, 1-chloro-
__label__C5H8	2,3-Pentadiene
__label__C5H8	1,2-Pentadiene
__label__C5H8	1,4-Pentadiene
__label__C6H5I	Benzene, iodo-
__label__C7H9N	Pyridine, 3,5-dimethyl-
__label__C8H18	Hexane, 2,2-dimethyl-
__label__C3H5Cl	1-Propene, 1-chloro-
__label__C3H5Br	(E)-1-Bromo-1-propene
__label__C3H5Br	(Z)-1-Bromo-1-propene
__label__C7H9N	Pyridine, 2,5-dimethyl-
__label__C8H18	Heptane, 3-methyl-
__label__C7H16O	4-Heptanol
__label__C6H12O	3-Hexanone
__label__C5H12O	3-Pentanol
__label__C7H9N	Pyridine, 2,3-dimethyl-
__label__C7H9N	Pyridine, 3,4-dimethyl-
__label__C12H12	Naphthalene, 2,7-dimethyl-
__label__C12H12	Naphthalene, 2,6-dimethyl-
__label__C12H12	Naphthalene, 2,3-dimethyl-
__label__C8H10O	Phenol, 2,6-dimethyl-
__label__C12H12	Naphthalene, 1,6-dimethyl-
__label__C12H12	Naphthalene, 1,3-dimethyl-
__label__C12H12	Naphthalene, 1,7-dimethyl-
__label__C12H12	Naphthalene, 1,2-dimethyl-
__label__C12H12	Naphthalene, 1,5-dimethyl-
__label__C12H12	Naphthalene, 1,4-dimethyl-
__label__C7H14O	3-Pentanone, 2,4-dimethyl-
__label__C6H12O	2-Pentanone, 3-methyl-
__label__C7H16	Pentane, 2,3-dimethyl-
__label__C6H12	1-Butene, 2,3-dimethyl-
__label__C4H7Cl	1-Butene, 3-chloro-
__label__C6H5NO3	Phenol, 3-nitro-
__label__C10H16	2-Carene
__label__C5H6S	Thiophene, 2-methyl-
__label__C16H34	Hexadecane
__label__C8H18S	Butyl sulfide
__label__C5H11Cl	Pentane, 1-chloro-
__label__C4H9NO2	t-Butyl nitrite
__label__C6H4F2	Benzene, 1,4-difluoro-
__label__C8H10O	Phenol, 2,3-dimethyl-
__label__C9H12	Benzene, 1,2,3-trimethyl-
__label__C4H10S	2-Butanethiol
__label__C4H10S	1-Propanethiol, 2-methyl-
__label__CBrN	Cyanogen bromide
__label__C5H10O2	1,3-Dioxepane
__label__C8H8O	Benzofuran, 2,3-dihydro-
__label__C9H10	Indane
__label__C9H10O	Isochroman
__label__C10H18	Naphthalene, decahydro-, trans-
__label__C10H18	Naphthalene, decahydro-, cis-
__label__C7H8O2	1,2-Benzenediol, 3-methyl-
__label__C12H8	Biphenylene
__label__C7H8O2	1,2-Benzenediol, 4-methyl-
__label__C7F8	Benzene, pentafluoro(trifluoromethyl)-
__label__C4H3F7O	2,2,3,3,4,4,4-Heptafluoro-butanol
__label__C6H4F2	Benzene, 1,3-difluoro-
__label__C6H4F2	Benzene, 1,2-difluoro-
__label__C6HF5	Benzene, pentafluoro-
__label__C6F10	Decafluorocyclohexene
__label__C6ClF5	Benzene, chloropentafluoro-
__label__C6H2F4	Benzene, 1,2,4,5-tetrafluoro-
__label__C6H6O	Oxepin
__label__C3H6S	Thietane
__label__C6H10O	7-Oxabicyclo[4.1.0]heptane
__label__C5H8O	6-Oxabicyclo[3.1.0]hexane
__label__C10H16	Adamantane
__label__C8H14	Bicyclo[2.2.2]octane
__label__C7H12	Norbornane
__label__C7H8	Tetracyclo[3.2.0.0(2,7).0(4,6)]heptane
__label__C10H8	Azulene
__label__C8H6O	Benzofuran
__label__C12H8O2	Dibenzo-p-dioxin
__label__C12H8	Acenaphthylene
__label__C4H6	Bicyclo[1.1.0]butane
__label__C4H10O3	Methane, trimethoxy-
__label__C2H2O4	Oxalic acid
__label__C6H10O	3-Penten-2-one, 4-methyl-
__label__C7H12O2	2-Propenoic acid, butyl ester
__label__C5H8O2	2-Propenoic acid, ethyl ester
__label__C10H6O2	1,4-Naphthalenedione
__label__C8H16O	Octanal
__label__C6H12O2	Acetic acid, butyl ester
__label__C5H8O2	Acetylacetone
__label__C6H12O2	2-Pentanone, 4-hydroxy-4-methyl-
__label__C6H6O2	Hydroquinone
__label__C8H11N	Benzenamine, N,N-dimethyl-
__label__C6H3Cl3	Benzene, 1,2,4-trichloro-
__label__C9H7N	Isoquinoline
__label__C10H12	Naphthalene, 1,2,3,4-tetrahydro-
__label__C12H24	1-Dodecene
__label__C12H26	Dodecane
__label__C8H18O	1-Octanol
__label__C7H14O	Heptanal
__label__C7H16O	1-Heptanol
__label__C6H14O	1-Hexanol
__label__C8H16O	2-Octanone
__label__C8H14O	5-Hepten-2-one, 6-methyl-
__label__C3H6O3	1,3,5-Trioxane
__label__C4H10O2	1,4-Butanediol
__label__C5H11Br	Pentane, 1-bromo-
__label__C5H10O3	Ethanol, 2-methoxy-, acetate
__label__C4H8O	Tetrahydrofuran
__label__C5H10O2	n-Propyl acetate
__label__C6H6S	Benzenethiol
__label__C6H13N	Cyclohexylamine
__label__C9H18O	4-Heptanone, 2,6-dimethyl-
__label__C8H10O	Phenol, 3,5-dimethyl-
__label__C7H9N	2,6-Lutidine
__label__C7H9N	Pyridine, 2,4-dimethyl-
__label__C6H6O2	Resorcinol
__label__C4H2O3	Maleic anhydride
__label__C6H14O	2-Pentanol, 4-methyl-
__label__C4H8O2	Butanoic acid
__label__C2H5NO	Acetaldoxime
__label__C3H8S	Propyl mercaptan
__label__C4H8O	Oxirane, ethyl-
__label__C8H16O2	Heptanoic acid, methyl ester
__label__C7H14O2	Hexanoic acid, methyl ester
__label__C6H4O2	p-Benzoquinone
__label__C8H10O	Phenol, 2,4-dimethyl-
__label__C6H12O2	Butanoic acid, ethyl ester
__label__C9H12	Benzene, propyl-
__label__C8H12	Cyclohexene, 4-ethenyl-
__label__C7H7Br	Benzene, (bromomethyl)-
__label__C6H5NO3	Phenol, 4-nitro-
__label__C9H10	α-Methylstyrene
__label__C7H5F3	Benzene, (trifluoromethyl)-
__label__C3H5ClO2	Acetic acid, chloro-, methyl ester
__label__C4H6O2	2-Propenoic acid, methyl ester
__label__C3H5Cl3	Propane, 1,2,3-trichloro-
__label__C6H14	Pentane, 3-methyl-
__label__C8H10O	Phenol, 2,5-dimethyl-
__label__C8H10O	Phenol, 3,4-dimethyl-
__label__C9H12	Benzene, 1,2,4-trimethyl-
__label__C6H7NO	Phenol, o-amino-
__label__C8H10O2	Creosol
__label__C11H10	Naphthalene, 2-methyl-
__label__C11H10	Naphthalene, 1-methyl-
__label__C6H5NO3	Phenol, 2-nitro-
__label__C13H10	Fluorene
__label__C12H10	Acenaphthene
__label__C10H16	Camphene
__label__C2HCl3O	Acetyl chloride, dichloro-
__label__C3H7NO	Acetamide, N-methyl-
__label__C3H4O2	2-Propenoic acid
__label__C4H7N	Isobutyronitrile
__label__C5H6	1-Buten-3-yne, 2-methyl-
__label__C5H11Cl	Butane, 1-chloro-3-methyl-
__label__C4H9Br	Butane, 2-bromo-
__label__C8H20Pb	Tetraethyllead
__label__C10H16O	Camphor
__label__C4H10S	2-Propanethiol, 2-methyl-
__label__C4H11N	2-Propanamine, 2-methyl-
__label__C3H8S	2-Propanethiol
__label__OZr	zirconium oxide
__label__NbO	niobium oxide
__label__CH3F3Si	Silane, trifluoromethyl-
__label__C5H12O	1-Pentanol
__label__C3H8O2	Propylene Glycol
__label__Ne	neon
__label__C7H12	Cyclopentene, 1,2-dimethyl-
__label__C6H9N	1H-Pyrrole, 2,5-dimethyl-
__label__C6H12N2	Triethylenediamine
__label__C7H6O2	Benzoic acid
__label__C2Cl4O	Trichloroacetyl chloride
__label__C5H7N	1H-Pyrrole, 1-methyl-
__label__C4H6O	1,3-Butadiene-2-ol
__label__C8H8O	Phthalan
__label__C8H8O2	Benzoic acid, methyl ester
__label__C5H6O	Cyclopenta-1,3-dien-2-ol
__label__C5H11ClO3	1,1,1-Trimethoxy-2-chloroethane
__label__C10H14	1,3-Cyclopentadiene, 1,2,3,4-tetramethyl-5-methylene-
__label__C6H8	cis-2,3,4-Hexatriene
__label__C6H8	trans-2,3,4-Hexatriene
__label__C8H10	Bicyclo[2.2.0]hexane, 2,3-bis(methylene)-
__label__C2H4O3	Acetic acid, hydroxy-
__label__C6H13NO2	Glycine, N,N-dimethyl-, ethyl ester
__label__CH3N3O4	Methyldinitramine
__label__C8H12	1,5-Cyclooctadiene, (E,E)-
__label__C8H12	Cyclobutane, 1,2-diethenyl-, trans-
__label__AlCl2	Aluminum chloride
__label__CaCl	Calcium monochloride
__label__ClCu	copper chloride
__label__Sr	strontium
__label__OSr	Strontium monoxide
__label__ClSr	Strontium monochloride
__label__ClMg	Magnesium chloride
__label__C8H10	1,3,6-Cyclooctatriene
__label__C8H10	Bicyclo[4.2.0]octa-2,4-diene
__label__C8H10	Octa-1,2,6,7-teraene
__label__C8H10	2,3-Divinylbutadiene
__label__C12H7ClO2	Dibenzo[b,e][1,4]dioxin, 2-chloro-
__label__C12H22	1,1'-Bicyclohexyl
__label__C3H8O2	Hydroperoxide, 1-methylethyl
__label__CF5N	Pentafluoromethylamine
__label__C2Cl2	Ethyne, dichloro-
__label__C6H10	(Z),(Z)-2,4-Hexadiene
__label__CClN3O6	Methane, chlorotrinitro-
__label__C4H9F2N	t-Butyldifluoroamine
__label__C8H16O2	Cyclohexane, 1,1-dimethoxy-
__label__C7H12O	Cyclohexene, 1-methoxy-
__label__C6H10	3-Hexyne
__label__C2N6O12	hexanitroethane
__label__C5H12N2O	Urea, tetramethyl-
__label__CIN3O6	Methane, iodotrinitro-
__label__C2H3N	Methyl isocyanide
__label__C4H10Cd	Cadmium, diethyl-
__label__C8H16	Cyclohexane, 1,1-dimethyl-
__label__C7H5NO	Benzene, isocyanato-
__label__CBrN3O6	Methane, bromotrinitro-
__label__C4H10Zn	Diethylzinc
__label__C6H11Cl	Cyclohexane, chloro-
__label__CN4O8	Methane, tetranitro-
__label__C5H11N	Piperidine
__label__C6H9F3O2	Acetic acid, trifluoro-, 1,1-dimethylethyl ester
__label__C6BrF5	Benzene, bromopentafluoro-
__label__C2H4O3	1,2,4-Trioxolane
__label__C5H9Br	Cyclopentane, bromo-
__label__C6H13Br	Hexane, 1-bromo-
__label__C5H12S	1-Pentanethiol
__label__C9H12O	Phenol, 2,4,6-trimethyl-
__label__C8H10O	Benzene, 1-methoxy-3-methyl-
__label__C6H15N	Diisopropylamine
__label__C2H8N2	Ethylenediamine
__label__C3H6N2	3-Aminopropionitrile
__label__C8H10O	Benzene, 1-methoxy-4-methyl-
__label__C6H14O2	Ethane, 1,1-diethoxy-
__label__C16H26	Benzene, decyl-
__label__C8H10O	Phenol, 3-ethyl-
__label__C8H10O	Phenol, 4-ethyl-
__label__C8H10O	Phenol, 2-ethyl-
__label__C10H14O	Phenol, m-tert-butyl-
__label__C10H14O	Phenol, p-tert-butyl-
__label__C10H14O	Phenol, 2-(1,1-dimethylethyl)-
__label__BrNa	sodium bromide
__label__C3H6Cl2	Propane, 2,2-dichloro-
__label__C6H4	(Z)-Hexa-1,5-diyne-3-ene
__label__C4H6O3	Acetic anhydride
__label__C4H10N2	Piperazine
__label__C8H14	2,4-Hexadiene, 3,4-dimethyl-, (E,Z)-
__label__C10H14	Bicyclo[4.2.2]deca-3,7-diene-
__label__C10H14	Bicyclo[2.2.2]oct-2-ene, 5-ethenyl-, (1α,4α,5α)-
__label__C10H14	Bicyclo[2.2.2]oct-2-ene, 5-ethenyl-, (1α,4α,5β)-
__label__C8H10	1,2-Divinylcyclobutene
__label__C8H10	Bicyclo[4.2.0]octa-1,5-diene
__label__C4H6N4	2-Methyl-5-vinyltetrazole
__label__Cs2	Cesium dimer
__label__AlCl3	aluminium chloride
__label__CuO	copper oxide
__label__Rb	rubidium
__label__IK	potassium iodide
__label__ILi	lithium iodide
__label__C5H9N	Propanenitrile, 2,2-dimethyl-
__label__C5H10N2O2	Piperidine, 1-nitro-
__label__C8H8	Cyclopropa[cd]pentalene, 2a,2b,4a,4b-tetrahydro-
__label__C8H12	1,5-Cyclooctadiene, (E,Z)-
__label__C4H6N2O	Furazan, dimethyl-
__label__C4H8N4O4	Piperazine, 1,4-dinitro-
__label__C3H6N4	2H-Tetrazole, 2,5-dimethyl-
__label__C5H8	1-Butyne, 3-methyl-
__label__C6H14N2	Diazene, diisopropyl
__label__C6H10	4-Methyl-2-pentyne
__label__C2H5NS	Ethanethioamide
__label__CsHO	Cesium hydroxide
__label__C10H20	Cyclopentane, pentyl-
__label__C4H6O2S	Diacetyl sulphide
__label__C4H6	1-Methylcyclopropene
__label__C4H6O2	2-Oxetanone, 4-methyl-
__label__C6H10	cis-2-Methyl-1-vinylcyclopropane
__label__C6H10	1,4-Hexadiene, (Z)-
__label__C4H6N2O2	Dimethylfurazan monoxide
__label__C7H7I	Benzene, (iodomethyl)-
__label__C8H16	Cyclopentane, propyl-
__label__C9H18	Cyclopentane, butyl-
__label__C2HCl3O2	Trichloroacetic Acid
__label__C3H7ClO	Ethane, 1-chloro-1-methoxy-
__label__C6H15Ga	triethylgallium
__label__C6H14Hg	Diisopropyl mercury
__label__C8H18N2	Diazene, bis(1,1-dimethylethyl)-
__label__C7H14O2	2-Butanol, 2-methyl-, acetate
__label__C10H13N	Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1α,2α,3α,4α)- (endo,endo)
__label__C10H13N	Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1α,2β,3β,4α)- (exo,exo)
__label__C10H13N	Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1α,2α,3β,4α)- (endo,exo)
__label__C10H13N	Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1α,2β,3α,4α)- (exo,endo)
__label__C11H18	Bicyclo[2.2.2]oct-2-ene,5-(1-methylethyl)-,(1α,4α,5α)-
__label__C11H18	Bicyclo[2.2.2]oct-2-ene, 5-(1-methylethyl)-, (1α,4α,5β)-
__label__C4H8O2	1,3-Dioxolane, 2-methyl-
__label__C2H3BrF2	1-Bromo-1,1-difluoroethane
__label__C6H10	Bicyclo[2.2.0]hexane
__label__C5H8	Bicyclo[2.1.0]pentane
__label__C9H14	Bicyclo[2.2.2]oct-2-ene, 5-methyl-, (1α,4α,5α)-
__label__C9H14	Bicyclo[2.2.2]oct-2-ene, 5-methyl-, (1α,4α,5β)-
__label__C9H11N	Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, (1α,2α,4α)-
__label__C9H11N	Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, (1α,2β,4α)-
__label__C10H16	Bicyclo[2.2.2]oct-2-ene, 5-ethyl-, (1α,4α,5α)-
__label__C10H16	Bicyclo[2.2.2]oct-2-ene, 5-ethyl-, (1α,4α,5β)-
__label__HLi	lithium hydride
__label__C2H5NO	Acetamide
__label__C3H4O2	Propiolactone
__label__C9H10	Benzene, 1-ethenyl-3-methyl-
__label__C9H10	Benzene, 1-ethenyl-4-methyl-
__label__C6H5NO2	Niacin
__label__C8H8O3	Benzoic acid, 3-methoxy-
__label__C5H10O2	Butanoic acid, 3-methyl-
__label__C4H7IO	3-Iodo-2-butanone
__label__C10H18	Cyclohexene, 4-methyl-1-(1-methylethyl)-
__label__C8H12	Tricyclo[3.2.1.0(1,5)]octane
__label__C8H12	Cyclohexane, 1,3-bis(methylene)-
__label__C6H3N3O4	Benzofurazan, 4-nitro-, 1-oxide
__label__C7H9N	Benzenamine, 3-methyl-
__label__C5H5N	Bicyclo[1.1.0]butane-1-carbonitrile
__label__C8H8O2	Benzoic acid, 3-methyl-
__label__C7H5ClO2	Benzoic acid, 3-chloro-
__label__C7H9N	p-Aminotoluene
__label__Rb2	Dirubidium
__label__K2	Dipotassium
__label__F2N2	(Z)-Difluorodiazene
__label__C8H8O2	Benzoic acid, 4-methyl-
__label__ClF5	chlorine pentafluoride
__label__BBr2	Dibromoborane
__label__Br3Si	Tribromosilyl radical
__label__Cl3Ti	titanium trichloride
__label__ClPb	Lead chloride
__label__C7H10	cis-Bicyclo[3.2.0]hept-2-ene
__label__C3H6N4	1H-Tetrazole, 1,5-dimethyl-
__label__C16H40N4Ti	Tetrakis(diethylamino)titanium
__label__C5H7Cl3O2	Trichloroaetic acid isopropyl ester
__label__C6H10	Cyclopentene, 4-methyl-
__label__C6H8N2O2	Tetramethylene furoxan
__label__C6H11NO	Caprolactam
__label__C6H15O4V	Triethoxo-oxovanadium
__label__C3H9ClGe	chlorotrimethylgermane
__label__C3H9ClSn	Stannane, chlorotrimethyl-
__label__C5H10O	Propane, 2-(ethenyloxy)-
__label__C8H8O3	Benzoic acid, 4-methoxy-
__label__C7H5ClO2	Benzoic acid, 4-chloro-
__label__C6H8	Bicyclo(3.1.0)hex-2-ene
__label__C4H4O2	2-Oxetanone, 4-methylene-
__label__C6H14Hg	Di-n-propyl mercury
__label__C8H14O2	Acetic acid, cyclohexyl ester
__label__C8H6O3	Benzoylformic acid
__label__C6H4Cl2O	Phenol, 3,5-dichloro-
__label__C2H2I2	(E)-1,2-Diiodoethylene
__label__C6H4Cl2O	Phenol, 2,5-dichloro-
__label__C6H4Cl2O	Phenol, 2,3-dichloro-
__label__C3H5ClO2	Carbonochloridic acid, ethyl ester
__label__C2H6Cd	dimethylcadmium
__label__CH3Cd	CdCH3
__label__C6H4N2O2	Benzofuroxan
__label__C6H4Cl2O	Phenol, 2,4-dichloro-
__label__C5H8O	2H-Pyran, 3,4-dihydro-
__label__C8H18S2	Di-tert-butyl disulfide
__label__C6H4Cl2O	Phenol, 3,4-dichloro-
__label__C6H4Cl2O	Phenol, 2,6-dichloro-
__label__C7H5IO2	Benzoic acid, 3-iodo-
__label__C6H7NO	Phenol, 4-amino-
__label__C7H5IO2	Benzoic acid, 4-iodo-
__label__C7H5BrO2	Benzoic acid, 3-bromo-
__label__C6H7N	3-Methylenecyclobutanenitrile
__label__Si3	Silicon timer
